female;lwage;wage
0;1,215000033;3,37
1;1,609400034;5,00
0;2,140100002;8,50
0;2,073199987;7,95
0;1,649000049;5,20
0;1,7148;5,56
0;1,09860003;3,00
1;1,832599998;6,25
1;0,356700003;1,43
0;2,154700041;8,63
0;1,986700058;7,29
1;1,704699993;5,50
0;2,110199928;8,25
0;1,832599998;6,25
0;1,308300018;3,70
1;2,230000019;9,30
0;2,525700092;12,50
1;2,397900105;11,00
0;1,252799988;3,50
0;2,079400063;8,00
1;2,014899969;7,50
1;1,203999996;3,33
1;1,386299968;4,00
0;1,231099963;3,42
0;1,504099965;4,50
0;2,599699974;13,46
0;2,237999916;9,37
0;2,353899956;10,53
0;2,525700092;12,50
1;0,936100006;2,55
0;2,014899969;7,50
1;1,131399989;3,10
1;1,658200026;5,25
0;2,067699909;7,91
0;2,082000017;8,02
1;2,154700041;8,63
1;1,967100024;7,15
0;2,759299994;15,79
0;1,297199965;3,66
1;1,252799988;3,50
0;2,374900103;10,75
0;1,636800051;5,14
0;1,23210001;3,43
0;1,749199986;5,75
0;2,302599907;10,00
1;1,558099985;4,75
0;1,609400034;5,00
0;1,558099985;4,75
0;2,054100037;7,80
0;1,832599998;6,25
0;1,945899963;7,00
1;1,832599998;6,25
1;1,185600042;3,27
1;0,911800027;2,49
0;1,871799946;6,50
0;1,945899963;7,00
0;2,169100046;8,75
0;2,014899969;7,50
0;1,644799948;5,18
0;2,107199907;8,23
1;1,629199982;5,10
0;1,059399962;2,88
1;2,169100046;8,75
0;1,321799994;3,75
1;1,855499983;6,39
0;1,749199986;5,75
0;1,966099977;7,14
0;1,198199987;3,31
1;1,927899957;6,88
0;2,302599907;10,00
0;1,386299968;4,00
0;-0,469999999;0,63
0;1,315099955;3,73
0;2,899399996;18,16
0;1,998100042;7,38
0;1,704699993;5,50
1;1,17869997;3,25
1;1,609400034;5,00
0;2,014899969;7,50
0;2,484899998;12,00
0;2,079400063;8,00
0;2,140100002;8,50
1;1,582800031;4,87
0;2,334599972;10,33
0;1,650300026;5,21
0;1,547600031;4,70
1;1,770699978;5,87
1;1,609400034;5,00
1;1,294700027;3,65
1;2,040199995;7,69
1;1,321799994;3,75
0;1,856299996;6,40
0;2,110199928;8,25
0;2,363199949;10,62
1;0,670700014;1,96
0;1,578999996;4,85
0;2,140100002;8,50
0;1,662999988;5,28
0;2,612699986;13,64
0;2,169100046;8,75
0;1,609400034;5,00
0;2,079400063;8,00
0;1,514099956;4,55
1;1,190700054;3,29
1;1,791800022;6,00
0;2,230000019;9,30
1;0,974600017;2,65
0;2,041199923;7,70
0;1,791800022;6,00
0;2,162800074;8,70
0;2,484899998;12,00
0;1,791800022;6,00
1;1,695600033;5,45
0;2,525700092;12,50
0;0,974600017;2,65
0;2,108999968;8,24
1;1,294700027;3,65
1;0,974600017;2,65
0;1,223799944;3,40
0;1,203999996;3,33
0;1,047299981;2,85
0;1,82159996;6,18
1;1,139400005;3,12
1;0,916299999;2,50
0;2,208300114;9,10
0;2,169100046;8,75
0;1,791800022;6,00
0;1,386299968;4,00
1;1,871799946;6,50
0;1,203999996;3,33
1;1,216400027;3,38
1;1,909500003;6,75
0;1,763599992;5,83
0;1,295799971;3,65
1;1,321799994;3,75
0;1,566900015;4,79
0;1,609400034;5,00
1;1,429100037;4,17
1;1,658200026;5,25
0;1,905799985;6,72
1;2,014899969;7,50
0;0,955500007;2,60
0;2,645499945;14,09
1;2,526900053;12,51
0;1,609400034;5,00
0;1,386299968;4,00
1;1,064700007;2,90
0;1,526100039;4,60
0;1,44690001;4,25
0;1,871799946;6,50
