educ;south;nonwhite;female;married;exper;expersq;union;lwage;age;year;y85;y85fem;y85educ;y85union
12;0;0;0;0;8;64;0;1,2150000333786;25;78;0;0;0;0
12;0;0;1;1;30;900;1;1,60940003395081;47;78;0;0;0;0
6;0;0;0;1;38;1444;1;2,14010000228882;49;78;0;0;0;0
12;0;0;0;1;19;361;1;2,0731999874115;36;78;0;0;0;0
12;0;0;0;1;11;121;0;1,64900004863739;28;78;0;0;0;0
8;0;0;0;1;43;1849;0;1,71480000019073;56;78;0;0;0;0
11;0;0;0;0;2;4;0;1,09860002994537;18;78;0;0;0;0
15;0;0;1;0;9;81;0;1,83259999752045;29;78;0;0;0;0
16;0;0;1;0;17;289;0;,356700003147125;38;78;0;0;0;0
15;0;0;0;1;23;529;1;2,15470004081726;43;78;0;0;0;0
15;0;0;0;1;39;1521;1;1,9867000579834;59;78;0;0;0;0
12;0;0;1;1;5;25;1;1,70469999313354;22;78;0;0;0;0
11;0;0;0;1;27;729;1;2,11019992828369;43;78;0;0;0;0
12;0;0;0;1;29;841;0;1,83259999752045;46;78;0;0;0;0
12;0;0;0;0;7;49;0;1,30830001831055;24;78;0;0;0;0
12;0;0;1;0;42;1764;1;2,23000001907349;59;78;0;0;0;0
18;0;0;0;1;35;1225;1;2,52570009231567;58;78;0;0;0;0
18;0;0;1;1;31;961;1;2,39790010452271;54;78;0;0;0;0
6;0;0;0;1;24;576;0;1,25279998779297;35;78;0;0;0;0
14;0;1;0;1;14;196;1;2,07940006256104;33;78;0;0;0;0
12;0;0;1;0;40;1600;1;2,01489996910095;57;78;0;0;0;0
12;0;0;1;0;10;100;0;1,2039999961853;27;78;0;0;0;0
13;0;0;1;0;3;9;0;1,38629996776581;21;78;0;0;0;0
13;0;0;0;0;2;4;0;1,23109996318817;20;78;0;0;0;0
15;0;0;0;0;7;49;0;1,50409996509552;27;78;0;0;0;0
16;0;0;0;0;29;841;0;2,59969997406006;50;78;0;0;0;0
13;0;0;0;1;27;729;1;2,23799991607666;45;78;0;0;0;0
18;0;0;0;0;8;64;0;2,35389995574951;31;78;0;0;0;0
10;0;0;0;1;6;36;1;2,52570009231567;21;78;0;0;0;0
14;0;0;1;0;2;4;0;,936100006103516;21;78;0;0;0;0
8;0;0;0;0;36;1296;1;2,01489996910095;49;78;0;0;0;0
15;0;0;1;1;23;529;1;1,13139998912811;43;78;0;0;0;0
8;0;0;1;1;48;2304;1;1,65820002555847;61;78;0;0;0;0
12;0;0;0;0;21;441;1;2,06769990921021;38;78;0;0;0;0
8;0;0;0;1;11;121;1;2,08200001716614;24;78;0;0;0;0
12;0;0;1;1;26;676;1;2,15470004081726;43;78;0;0;0;0
16;0;0;1;1;10;100;0;1,96710002422333;31;78;0;0;0;0
14;0;0;0;1;37;1369;0;2,75929999351501;56;78;0;0;0;0
13;0;0;0;1;21;441;0;1,29719996452332;39;78;0;0;0;0
16;0;0;1;1;21;441;0;1,25279998779297;42;78;0;0;0;0
13;0;0;0;0;6;36;1;2,37490010261536;24;78;0;0;0;0
12;0;0;0;1;25;625;1;1,63680005073547;42;78;0;0;0;0
13;0;0;0;0;5;25;0;1,23210000991821;23;78;0;0;0;0
11;0;0;0;0;13;169;1;1,74919998645782;29;78;0;0;0;0
16;0;0;0;0;15;225;0;2,30259990692139;36;78;0;0;0;0
12;0;0;1;1;8;64;0;1,55809998512268;25;78;0;0;0;0
10;0;0;0;1;8;64;1;1,60940003395081;23;78;0;0;0;0
14;0;0;0;1;11;121;0;1,55809998512268;30;78;0;0;0;0
12;0;1;0;1;34;1156;1;2,05410003662109;51;78;0;0;0;0
13;0;0;0;0;8;64;0;1,83259999752045;26;78;0;0;0;0
12;0;0;0;1;36;1296;0;1,94589996337891;53;78;0;0;0;0
12;0;0;1;1;30;900;0;1,83259999752045;47;78;0;0;0;0
16;0;0;1;1;5;25;1;1,18560004234314;26;78;0;0;0;0
11;0;0;1;1;13;169;0;,911800026893616;29;78;0;0;0;0
11;0;0;0;0;2;4;1;1,8717999458313;18;78;0;0;0;0
9;0;0;0;1;12;144;1;1,94589996337891;26;78;0;0;0;0
18;0;0;0;1;24;576;0;2,16910004615784;47;78;0;0;0;0
12;0;1;0;1;17;289;1;2,01489996910095;34;78;0;0;0;0
8;0;0;0;1;50;2500;0;1,64479994773865;63;78;0;0;0;0
18;0;0;0;1;8;64;0;2,10719990730286;31;78;0;0;0;0
12;0;0;1;0;11;121;1;1,62919998168945;28;78;0;0;0;0
12;0;0;0;1;7;49;0;1,05939996242523;24;78;0;0;0;0
17;0;0;1;1;26;676;1;2,16910004615784;48;78;0;0;0;0
8;0;0;0;1;19;361;0;1,32179999351501;32;78;0;0;0;0
12;0;1;1;0;13;169;1;1,85549998283386;30;78;0;0;0;0
12;0;0;0;1;9;81;1;1,74919998645782;26;78;0;0;0;0
14;0;0;0;1;38;1444;0;1,96609997749329;57;78;0;0;0;0
12;0;0;0;0;4;16;0;1,1981999874115;21;78;0;0;0;0
14;0;0;1;0;11;121;0;1,92789995670319;30;78;0;0;0;0
10;0;0;0;1;43;1849;0;2,30259990692139;58;78;0;0;0;0
11;0;1;0;1;15;225;0;1,38629996776581;31;78;0;0;0;0
12;0;1;0;1;31;961;1;-,469999998807907;48;78;0;0;0;0
6;0;1;0;1;44;1936;1;1,3150999546051;55;78;0;0;0;0
16;0;0;0;1;16;256;0;2,89939999580383;37;78;0;0;0;0
12;0;0;0;1;25;625;1;1,99810004234314;42;78;0;0;0;0
14;0;0;0;1;19;361;1;1,70469999313354;38;78;0;0;0;0
12;0;0;1;0;3;9;0;1,17869997024536;20;78;0;0;0;0
13;0;0;1;0;14;196;0;1,60940003395081;32;78;0;0;0;0
12;0;0;0;1;30;900;0;2,01489996910095;47;78;0;0;0;0
12;0;0;0;1;32;1024;1;2,48489999771118;49;78;0;0;0;0
10;0;0;0;1;48;2304;1;2,07940006256104;63;78;0;0;0;0
12;0;0;0;0;36;1296;1;2,14010000228882;53;78;0;0;0;0
12;0;0;1;1;7;49;1;1,58280003070831;24;78;0;0;0;0
12;0;0;0;1;19;361;1;2,33459997177124;36;78;0;0;0;0
18;0;0;0;0;11;121;0;1,65030002593994;34;78;0;0;0;0
13;0;0;0;1;32;1024;1;1,54760003089905;50;78;0;0;0;0
12;0;0;1;1;10;100;0;1,77069997787476;27;78;0;0;0;0
14;0;0;1;0;3;9;0;1,60940003395081;22;78;0;0;0;0
16;0;0;1;1;10;100;0;1,29470002651215;31;78;0;0;0;0
16;0;0;1;1;9;81;0;2,04019999504089;30;78;0;0;0;0
12;0;0;1;1;13;169;1;1,32179999351501;30;78;0;0;0;0
12;0;0;0;1;20;400;0;1,85629999637604;37;78;0;0;0;0
12;0;0;0;1;30;900;1;2,11019992828369;47;78;0;0;0;0
12;0;0;0;1;10;100;1;2,36319994926453;27;78;0;0;0;0
18;0;0;1;0;17;289;0;,670700013637543;40;78;0;0;0;0
10;0;0;0;1;7;49;1;1,5789999961853;22;78;0;0;0;0
8;0;0;0;1;32;1024;0;2,14010000228882;45;78;0;0;0;0
9;0;0;0;1;36;1296;1;1,66299998760223;50;78;0;0;0;0
14;0;0;0;1;43;1849;0;2,61269998550415;62;78;0;0;0;0
16;0;0;0;1;9;81;0;2,16910004615784;30;78;0;0;0;0
8;0;0;0;1;41;1681;1;1,60940003395081;54;78;0;0;0;0
12;0;0;0;1;21;441;1;2,07940006256104;38;78;0;0;0;0
14;0;0;0;1;26;676;0;1,51409995555878;45;78;0;0;0;0
12;0;0;1;1;21;441;0;1,1907000541687;38;78;0;0;0;0
12;0;0;1;1;42;1764;0;1,79180002212524;59;78;0;0;0;0
12;0;0;0;1;41;1681;0;2,23000001907349;58;78;0;0;0;0
13;0;0;1;1;22;484;0;,97460001707077;40;78;0;0;0;0
18;0;0;0;1;10;100;0;2,04119992256165;33;78;0;0;0;0
12;0;0;0;0;3;9;1;1,79180002212524;20;78;0;0;0;0
14;0;0;0;0;14;196;0;2,16280007362366;33;78;0;0;0;0
12;0;0;0;1;24;576;1;2,48489999771118;41;78;0;0;0;0
12;0;0;0;1;13;169;1;1,79180002212524;30;78;0;0;0;0
12;0;0;1;0;41;1681;1;1,6956000328064;58;78;0;0;0;0
14;0;0;0;1;16;256;0;2,52570009231567;35;78;0;0;0;0
12;1;0;0;0;3;9;0;,97460001707077;20;78;0;0;0;0
16;1;0;0;1;27;729;0;2,10899996757507;48;78;0;0;0;0
7;1;0;1;0;31;961;0;1,29470002651215;43;78;0;0;0;0
11;1;0;1;0;2;4;0;,97460001707077;18;78;0;0;0;0
12;1;0;0;1;19;361;0;1,22379994392395;36;78;0;0;0;0
1;1;0;0;1;47;2209;0;1,2039999961853;53;78;0;0;0;0
12;1;0;0;0;1;1;0;1,04729998111725;18;78;0;0;0;0
9;1;0;0;1;5;25;0;1,82159996032715;19;78;0;0;0;0
12;1;1;1;0;38;1444;1;1,13940000534058;55;78;0;0;0;0
12;1;0;1;0;2;4;0;,916299998760223;19;78;0;0;0;0
12;1;0;0;1;19;361;0;2,20830011367798;36;78;0;0;0;0
12;1;0;0;1;38;1444;1;2,16910004615784;55;78;0;0;0;0
12;1;0;0;1;22;484;0;1,79180002212524;39;78;0;0;0;0
12;1;0;0;1;6;36;0;1,38629996776581;23;78;0;0;0;0
13;1;0;1;1;15;225;0;1,8717999458313;33;78;0;0;0;0
12;1;0;0;1;27;729;0;1,2039999961853;44;78;0;0;0;0
12;1;0;1;0;1;1;0;1,21640002727509;18;78;0;0;0;0
17;1;0;1;1;12;144;0;1,90950000286102;34;78;0;0;0;0
16;1;0;0;1;31;961;0;1,7635999917984;52;78;0;0;0;0
10;1;0;0;1;18;324;0;1,29579997062683;33;78;0;0;0;0
7;1;1;1;0;33;1089;0;1,32179999351501;45;78;0;0;0;0
6;1;0;0;0;39;1521;0;1,56690001487732;50;78;0;0;0;0
16;1;0;0;0;4;16;0;1,60940003395081;25;78;0;0;0;0
14;1;0;1;0;4;16;0;1,42910003662109;23;78;0;0;0;0
14;1;0;1;0;2;4;0;1,65820002555847;21;78;0;0;0;0
17;1;0;0;0;4;16;0;1,90579998493195;26;78;0;0;0;0
13;1;0;1;0;21;441;1;2,01489996910095;39;78;0;0;0;0
4;1;0;0;0;13;169;0;,95550000667572;22;78;0;0;0;0
17;1;0;0;1;18;324;0;2,64549994468689;40;78;0;0;0;0
14;1;0;1;0;9;81;0;2,52690005302429;28;78;0;0;0;0
16;1;0;0;0;8;64;0;1,60940003395081;29;78;0;0;0;0
10;1;1;0;1;35;1225;0;1,38629996776581;50;78;0;0;0;0
6;1;0;1;1;17;289;0;1,06470000743866;28;78;0;0;0;0
13;0;0;0;0;1;1;0;1,52610003948212;19;78;0;0;0;0
16;0;0;0;1;3;9;1;1,44690001010895;24;78;0;0;0;0
10;0;0;0;1;41;1681;1;1,8717999458313;56;78;0;0;0;0
12;0;0;1;1;41;1681;1;3,05640006065369;58;78;0;0;0;0
18;0;0;0;1;36;1296;0;1,88390004634857;59;78;0;0;0;0
10;0;1;1;1;16;256;1;1,25279998779297;31;78;0;0;0;0
12;0;1;1;0;36;1296;1;1,58920001983643;53;78;0;0;0;0
12;0;1;0;1;39;1521;0;1,82050001621246;56;78;0;0;0;0
13;0;0;0;1;2;4;0;1,79180002212524;20;78;0;0;0;0
15;0;0;0;1;8;64;0;1,81369996070862;28;78;0;0;0;0
12;0;0;0;1;35;1225;0;2,19720005989075;52;78;0;0;0;0
12;0;0;1;0;12;144;0;1,66069996356964;29;78;0;0;0;0
12;0;0;1;0;11;121;0;1,60940003395081;28;78;0;0;0;0
18;0;1;1;0;10;100;0;1,88390004634857;33;78;0;0;0;0
16;0;1;1;0;3;9;0;1,32179999351501;24;78;0;0;0;0
10;0;0;0;1;48;2304;1;1,25279998779297;63;78;0;0;0;0
15;0;0;0;0;20;400;1;2,49499988555908;40;78;0;0;0;0
6;0;0;0;1;51;2601;1;1,8717999458313;62;78;0;0;0;0
12;0;0;1;1;12;144;0;1,22379994392395;29;78;0;0;0;0
10;0;0;0;1;26;676;0;1,73849999904633;41;78;0;0;0;0
9;0;0;1;1;34;1156;1;2,07940006256104;48;78;0;0;0;0
13;0;0;1;1;35;1225;0;1,4452999830246;53;78;0;0;0;0
12;0;0;1;0;12;144;0;1,44690001010895;29;78;0;0;0;0
11;0;0;0;0;5;25;0;1,2878999710083;21;78;0;0;0;0
14;0;0;0;0;8;64;0;1,74919998645782;27;78;0;0;0;0
12;0;0;0;1;29;841;1;2,04769992828369;46;78;0;0;0;0
7;0;0;0;1;38;1444;1;1,83259999752045;50;78;0;0;0;0
12;0;0;0;1;33;1089;0;1,39869999885559;50;78;0;0;0;0
8;0;0;0;1;42;1764;0;1,83259999752045;55;78;0;0;0;0
16;0;0;0;0;1;1;0;1,93149995803833;22;78;0;0;0;0
13;0;1;0;0;17;289;1;1,95770001411438;35;78;0;0;0;0
16;0;0;1;1;5;25;0;1,83259999752045;26;78;0;0;0;0
12;0;0;1;0;13;169;0;1,25279998779297;30;78;0;0;0;0
12;0;0;1;1;23;529;0;1,23839998245239;40;78;0;0;0;0
16;0;0;1;1;12;144;1;,613099992275238;33;78;0;0;0;0
12;0;1;0;1;20;400;1;2,01489996910095;37;78;0;0;0;0
13;0;0;0;1;33;1089;0;2,16910004615784;51;78;0;0;0;0
9;0;0;0;1;22;484;0;1,42999994754791;36;78;0;0;0;0
10;0;0;1;0;27;729;1;1,64049994945526;42;78;0;0;0;0
14;0;0;0;1;9;81;1;1,92789995670319;28;78;0;0;0;0
16;0;0;0;0;5;25;0;1,98099994659424;26;78;0;0;0;0
12;0;0;0;1;8;64;0;1,55809998512268;25;78;0;0;0;0
12;0;0;0;1;32;1024;1;2,16910004615784;49;78;0;0;0;0
11;0;0;0;1;12;144;1;2,01489996910095;28;78;0;0;0;0
16;0;0;0;0;2;4;0;1,97720003128052;23;78;0;0;0;0
12;0;0;0;1;32;1024;1;1,90330004692078;49;78;0;0;0;0
12;0;0;0;1;32;1024;0;1,83259999752045;49;78;0;0;0;0
18;0;1;0;1;13;169;1;2,25710010528564;36;78;0;0;0;0
8;0;0;0;1;34;1156;1;1,85629999637604;47;78;0;0;0;0
9;0;0;1;0;16;256;0;-,0780000016093254;30;78;0;0;0;0
16;0;0;0;1;8;64;0;1,67400002479553;29;78;0;0;0;0
10;0;1;0;0;33;1089;0;1,60940003395081;48;78;0;0;0;0
12;0;0;0;1;24;576;1;2,07940006256104;41;78;0;0;0;0
9;0;1;0;1;34;1156;1;1,83259999752045;48;78;0;0;0;0
18;0;0;0;1;30;900;0;2,92079997062683;53;78;0;0;0;0
12;0;0;0;0;4;16;1;1,13940000534058;21;78;0;0;0;0
16;0;1;1;1;5;25;0;1,83259999752045;26;78;0;0;0;0
12;0;0;1;1;5;25;0;1,58410000801086;22;78;0;0;0;0
10;0;0;0;1;44;1936;1;2,08200001716614;59;78;0;0;0;0
11;0;0;0;0;8;64;0;1,70469999313354;24;78;0;0;0;0
12;0;0;1;1;26;676;0;1,82449996471405;43;78;0;0;0;0
14;0;0;0;1;37;1369;0;1,99240005016327;56;78;0;0;0;0
12;0;1;1;0;20;400;0;1,02960002422333;37;78;0;0;0;0
16;0;1;0;1;16;256;1;2,2558000087738;37;78;0;0;0;0
12;0;0;0;1;14;196;0;2,30259990692139;31;78;0;0;0;0
10;0;0;1;0;15;225;1;1,63759994506836;30;78;0;0;0;0
12;0;0;0;0;3;9;1;1,58410000801086;20;78;0;0;0;0
16;0;0;0;1;11;121;0;2,1768000125885;32;78;0;0;0;0
8;0;0;0;1;40;1600;1;1,83259999752045;53;78;0;0;0;0
12;0;0;1;0;21;441;0;2,40790009498596;38;78;0;0;0;0
13;0;0;0;1;3;9;0;1,96360003948212;21;78;0;0;0;0
12;0;0;1;0;17;289;0;1,97409999370575;34;78;0;0;0;0
12;0;0;0;0;6;36;0;1,43509995937347;23;78;0;0;0;0
11;1;1;0;1;28;784;1;2,07940006256104;44;78;0;0;0;0
12;1;0;1;1;6;36;0;1,2039999961853;23;78;0;0;0;0
14;1;0;1;0;4;16;0;1,25279998779297;23;78;0;0;0;0
12;1;0;0;1;41;1681;0;2,16910004615784;58;78;0;0;0;0
12;1;0;0;0;16;256;1;2,01489996910095;33;78;0;0;0;0
12;1;0;1;1;6;36;0;,451999992132187;23;78;0;0;0;0
12;1;0;0;1;39;1521;1;2,07940006256104;56;78;0;0;0;0
10;1;0;0;1;15;225;0;1,69280004501343;30;78;0;0;0;0
12;1;0;1;1;18;324;0;1,43250000476837;35;78;0;0;0;0
15;1;0;0;1;7;49;0;1,49290001392365;27;78;0;0;0;0
16;1;0;0;1;36;1296;0;1,13940000534058;57;78;0;0;0;0
14;1;0;1;1;6;36;0;1,72370004653931;25;78;0;0;0;0
12;1;1;1;0;13;169;0;1,52610003948212;30;78;0;0;0;0
13;1;0;0;0;2;4;0;1,09860002994537;20;78;0;0;0;0
5;1;0;0;1;50;2500;0;1,15750002861023;60;78;0;0;0;0
12;1;0;1;1;21;441;0;1,55809998512268;38;78;0;0;0;0
12;1;0;0;1;28;784;0;1,29359996318817;45;78;0;0;0;0
12;1;0;0;1;12;144;1;1,47590005397797;29;78;0;0;0;0
15;1;1;1;1;29;841;0;1,28090000152588;49;78;0;0;0;0
12;1;0;0;1;7;49;0;1,38629996776581;24;78;0;0;0;0
12;1;0;0;1;22;484;0;2,12030005455017;39;78;0;0;0;0
12;1;1;1;0;11;121;0;1,34809994697571;28;78;0;0;0;0
12;0;0;1;0;40;1600;0;1,5217000246048;57;78;0;0;0;0
12;0;0;0;1;31;961;0;1,53149998188019;48;78;0;0;0;0
12;0;0;1;1;10;100;0;1,42139995098114;27;78;0;0;0;0
16;0;0;0;1;9;81;0;1,98099994659424;30;78;0;0;0;0
12;0;1;1;1;10;100;1;1,44690001010895;27;78;0;0;0;0
15;0;0;0;1;42;1764;0;3,13220000267029;62;78;0;0;0;0
12;0;0;1;1;45;2025;0;,88730001449585;62;78;0;0;0;0
17;0;0;0;1;8;64;1;2,35139989852905;30;78;0;0;0;0
15;0;0;0;1;32;1024;0;2,16910004615784;52;78;0;0;0;0
14;0;0;0;0;1;1;0;1,25279998779297;20;78;0;0;0;0
