"Datum","Wochentag","Gewinnzahlen",,,,,,"Zusatzzahl","Superzahl"
"2016-05-18","Mittwoch",10,13,19,26,31,41,,4
"2016-05-14","Samstag",5,13,15,26,30,44,,9
"2016-05-11","Mittwoch",10,19,20,31,39,41,,5
"2016-05-07","Samstag",16,32,34,37,42,44,,9
"2016-05-04","Mittwoch",2,11,14,35,39,49,,5
"2016-04-30","Samstag",14,26,28,30,36,43,,6
"2016-04-27","Mittwoch",1,6,9,21,26,37,,6
"2016-04-23","Samstag",8,15,16,17,27,35,,4
"2016-04-20","Mittwoch",1,5,11,13,20,49,,8
"2016-04-16","Samstag",5,14,15,20,22,38,,9
"2016-04-13","Mittwoch",2,13,17,35,36,49,,7
"2016-04-09","Samstag",1,4,38,39,46,47,,2
"2016-04-06","Mittwoch",6,19,25,30,33,42,,4
"2016-04-02","Samstag",1,10,17,23,28,38,,6
"2016-03-30","Mittwoch",1,5,9,13,26,41,,1
"2016-03-26","Samstag",1,3,31,33,40,41,,5
"2016-03-23","Mittwoch",9,10,16,22,31,44,,0
"2016-03-19","Samstag",4,10,15,37,44,49,,5
"2016-03-16","Mittwoch",9,11,26,29,35,46,,6
"2016-03-12","Samstag",20,26,30,39,47,49,,4
"2016-03-09","Mittwoch",10,13,32,37,46,48,,7
"2016-03-05","Samstag",7,10,33,37,43,46,,3
"2016-03-02","Mittwoch",1,8,10,16,17,40,,9
"2016-02-27","Samstag",7,10,15,25,37,49,,7
"2016-02-24","Mittwoch",5,13,23,31,47,48,,5
"2016-02-20","Samstag",1,13,16,29,30,31,,6
"2016-02-17","Mittwoch",24,26,32,35,38,39,,3
"2016-02-13","Samstag",18,20,30,32,43,45,,8
"2016-02-10","Mittwoch",2,17,19,32,34,38,,4
"2016-02-06","Samstag",10,16,25,28,34,49,,5
"2016-02-03","Mittwoch",10,18,19,31,33,47,,8
"2016-01-30","Samstag",18,23,33,34,40,48,,9
"2016-01-27","Mittwoch",12,14,16,19,29,47,,3
