educ	south	nonwhite	female	married	exper	expersq	union	lwage	age	year
12	0	0	0	0	8	64	0	1,2150000334	25	78
12	0	0	1	1	30	900	1	1,609400034	47	78
6	0	0	0	1	38	1444	1	2,1401000023	49	78
12	0	0	0	1	19	361	1	2,0731999874	36	78
12	0	0	0	1	11	121	0	1,6490000486	28	78
8	0	0	0	1	43	1849	0	1,7148000002	56	78
11	0	0	0	0	2	4	0	1,0986000299	18	78
15	0	0	1	0	9	81	0	1,8325999975	29	78
16	0	0	1	0	17	289	0	0,3567000031	38	78
15	0	0	0	1	23	529	1	2,1547000408	43	78
15	0	0	0	1	39	1521	1	1,986700058	59	78
12	0	0	1	1	5	25	1	1,7046999931	22	78
11	0	0	0	1	27	729	1	2,1101999283	43	78
12	0	0	0	1	29	841	0	1,8325999975	46	78
12	0	0	0	0	7	49	0	1,3083000183	24	78
12	0	0	1	0	42	1764	1	2,2300000191	59	78
18	0	0	0	1	35	1225	1	2,5257000923	58	78
18	0	0	1	1	31	961	1	2,3979001045	54	78
6	0	0	0	1	24	576	0	1,2527999878	35	78
14	0	1	0	1	14	196	1	2,0794000626	33	78
12	0	0	1	0	40	1600	1	2,0148999691	57	78
12	0	0	1	0	10	100	0	1,2039999962	27	78
13	0	0	1	0	3	9	0	1,3862999678	21	78
13	0	0	0	0	2	4	0	1,2310999632	20	78
15	0	0	0	0	7	49	0	1,5040999651	27	78
16	0	0	0	0	29	841	0	2,5996999741	50	78
13	0	0	0	1	27	729	1	2,2379999161	45	78
18	0	0	0	0	8	64	0	2,3538999557	31	78
10	0	0	0	1	6	36	1	2,5257000923	21	78
14	0	0	1	0	2	4	0	0,9361000061	21	78
8	0	0	0	0	36	1296	1	2,0148999691	49	78
15	0	0	1	1	23	529	1	1,1313999891	43	78
8	0	0	1	1	48	2304	1	1,6582000256	61	78
12	0	0	0	0	21	441	1	2,0676999092	38	78
8	0	0	0	1	11	121	1	2,0820000172	24	78
12	0	0	1	1	26	676	1	2,1547000408	43	78
16	0	0	1	1	10	100	0	1,9671000242	31	78
14	0	0	0	1	37	1369	0	2,7592999935	56	78
13	0	0	0	1	21	441	0	1,2971999645	39	78
16	0	0	1	1	21	441	0	1,2527999878	42	78
13	0	0	0	0	6	36	1	2,3749001026	24	78
12	0	0	0	1	25	625	1	1,6368000507	42	78
13	0	0	0	0	5	25	0	1,2321000099	23	78
11	0	0	0	0	13	169	1	1,7491999865	29	78
16	0	0	0	0	15	225	0	2,3025999069	36	78
12	0	0	1	1	8	64	0	1,5580999851	25	78
10	0	0	0	1	8	64	1	1,609400034	23	78
14	0	0	0	1	11	121	0	1,5580999851	30	78
12	0	1	0	1	34	1156	1	2,0541000366	51	78
13	0	0	0	0	8	64	0	1,8325999975	26	78
12	0	0	0	1	36	1296	0	1,9458999634	53	78
12	0	0	1	1	30	900	0	1,8325999975	47	78
16	0	0	1	1	5	25	1	1,1856000423	26	78
11	0	0	1	1	13	169	0	0,9118000269	29	78
11	0	0	0	0	2	4	1	1,8717999458	18	78
9	0	0	0	1	12	144	1	1,9458999634	26	78
18	0	0	0	1	24	576	0	2,1691000462	47	78
12	0	1	0	1	17	289	1	2,0148999691	34	78
8	0	0	0	1	50	2500	0	1,6447999477	63	78
18	0	0	0	1	8	64	0	2,1071999073	31	78
12	0	0	1	0	11	121	1	1,6291999817	28	78
12	0	0	0	1	7	49	0	1,0593999624	24	78
17	0	0	1	1	26	676	1	2,1691000462	48	78
