"";"Class";"Sex";"Age";"Survived";"Freq"
"1";"3rd";"Male";"Child";"No";35
"2";"3rd";"Male";"Child";"No";35
"3";"3rd";"Male";"Child";"No";35
"4";"3rd";"Male";"Child";"No";35
"5";"3rd";"Male";"Child";"No";35
"6";"3rd";"Male";"Child";"No";35
"7";"3rd";"Male";"Child";"No";35
"8";"3rd";"Male";"Child";"No";35
"9";"3rd";"Male";"Child";"No";35
"10";"3rd";"Male";"Child";"No";35
"11";"3rd";"Male";"Child";"No";35
"12";"3rd";"Male";"Child";"No";35
"13";"3rd";"Male";"Child";"No";35
"14";"3rd";"Male";"Child";"No";35
"15";"3rd";"Male";"Child";"No";35
"16";"3rd";"Male";"Child";"No";35
"17";"3rd";"Male";"Child";"No";35
"18";"3rd";"Male";"Child";"No";35
"19";"3rd";"Male";"Child";"No";35
"20";"3rd";"Male";"Child";"No";35
"21";"3rd";"Male";"Child";"No";35
"22";"3rd";"Male";"Child";"No";35
"23";"3rd";"Male";"Child";"No";35
"24";"3rd";"Male";"Child";"No";35
"25";"3rd";"Male";"Child";"No";35
"26";"3rd";"Male";"Child";"No";35
"27";"3rd";"Male";"Child";"No";35
"28";"3rd";"Male";"Child";"No";35
"29";"3rd";"Male";"Child";"No";35
"30";"3rd";"Male";"Child";"No";35
"31";"3rd";"Male";"Child";"No";35
"32";"3rd";"Male";"Child";"No";35
"33";"3rd";"Male";"Child";"No";35
"34";"3rd";"Male";"Child";"No";35
"35";"3rd";"Male";"Child";"No";35
"36";"3rd";"Female";"Child";"No";17
"37";"3rd";"Female";"Child";"No";17
"38";"3rd";"Female";"Child";"No";17
"39";"3rd";"Female";"Child";"No";17
"40";"3rd";"Female";"Child";"No";17
"41";"3rd";"Female";"Child";"No";17
"42";"3rd";"Female";"Child";"No";17
"43";"3rd";"Female";"Child";"No";17
"44";"3rd";"Female";"Child";"No";17
"45";"3rd";"Female";"Child";"No";17
"46";"3rd";"Female";"Child";"No";17
"47";"3rd";"Female";"Child";"No";17
"48";"3rd";"Female";"Child";"No";17
"49";"3rd";"Female";"Child";"No";17
"50";"3rd";"Female";"Child";"No";17
"51";"3rd";"Female";"Child";"No";17
"52";"3rd";"Female";"Child";"No";17
"53";"1st";"Male";"Adult";"No";118
"54";"1st";"Male";"Adult";"No";118
"55";"1st";"Male";"Adult";"No";118
"56";"1st";"Male";"Adult";"No";118
"57";"1st";"Male";"Adult";"No";118
"58";"1st";"Male";"Adult";"No";118
"59";"1st";"Male";"Adult";"No";118
"60";"1st";"Male";"Adult";"No";118
"61";"1st";"Male";"Adult";"No";118
"62";"1st";"Male";"Adult";"No";118
"63";"1st";"Male";"Adult";"No";118
"64";"1st";"Male";"Adult";"No";118
"65";"1st";"Male";"Adult";"No";118
"66";"1st";"Male";"Adult";"No";118
"67";"1st";"Male";"Adult";"No";118
"68";"1st";"Male";"Adult";"No";118
"69";"1st";"Male";"Adult";"No";118
"70";"1st";"Male";"Adult";"No";118
"71";"1st";"Male";"Adult";"No";118
"72";"1st";"Male";"Adult";"No";118
"73";"1st";"Male";"Adult";"No";118
"74";"1st";"Male";"Adult";"No";118
"75";"1st";"Male";"Adult";"No";118
"76";"1st";"Male";"Adult";"No";118
"77";"1st";"Male";"Adult";"No";118
"78";"1st";"Male";"Adult";"No";118
"79";"1st";"Male";"Adult";"No";118
"80";"1st";"Male";"Adult";"No";118
"81";"1st";"Male";"Adult";"No";118
"82";"1st";"Male";"Adult";"No";118
"83";"1st";"Male";"Adult";"No";118
"84";"1st";"Male";"Adult";"No";118
"85";"1st";"Male";"Adult";"No";118
"86";"1st";"Male";"Adult";"No";118
"87";"1st";"Male";"Adult";"No";118
"88";"1st";"Male";"Adult";"No";118
"89";"1st";"Male";"Adult";"No";118
"90";"1st";"Male";"Adult";"No";118
"91";"1st";"Male";"Adult";"No";118
"92";"1st";"Male";"Adult";"No";118
"93";"1st";"Male";"Adult";"No";118
"94";"1st";"Male";"Adult";"No";118
"95";"1st";"Male";"Adult";"No";118
"96";"1st";"Male";"Adult";"No";118
"97";"1st";"Male";"Adult";"No";118
"98";"1st";"Male";"Adult";"No";118
"99";"1st";"Male";"Adult";"No";118
"100";"1st";"Male";"Adult";"No";118
"101";"1st";"Male";"Adult";"No";118
"102";"1st";"Male";"Adult";"No";118
"103";"1st";"Male";"Adult";"No";118
"104";"1st";"Male";"Adult";"No";118
"105";"1st";"Male";"Adult";"No";118
"106";"1st";"Male";"Adult";"No";118
"107";"1st";"Male";"Adult";"No";118
"108";"1st";"Male";"Adult";"No";118
"109";"1st";"Male";"Adult";"No";118
"110";"1st";"Male";"Adult";"No";118
"111";"1st";"Male";"Adult";"No";118
"112";"1st";"Male";"Adult";"No";118
"113";"1st";"Male";"Adult";"No";118
"114";"1st";"Male";"Adult";"No";118
"115";"1st";"Male";"Adult";"No";118
"116";"1st";"Male";"Adult";"No";118
"117";"1st";"Male";"Adult";"No";118
"118";"1st";"Male";"Adult";"No";118
"119";"1st";"Male";"Adult";"No";118
"120";"1st";"Male";"Adult";"No";118
"121";"1st";"Male";"Adult";"No";118
